"","sciname","FoodI","FoodII","FoodIII","Commoness","PredatorStage","SpecCode"
"38","Anchichoerops natalensis","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",14328
"39","Anchichoerops natalensis","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",14328
"40","Austrolabrus maculatus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",47036
"41","Bodianus anthioides","nekton","finfish","bony fish",NA,"juv./adults",5497
"42","Bodianus anthioides","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5497
"43","Bodianus anthioides","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",5497
"44","Bodianus anthioides","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",5497
"45","Bodianus anthioides","zoobenthos","mollusks","bivalves",NA,"juv./adults",5497
"46","Bodianus anthioides","zoobenthos","mollusks","gastropods",NA,"juv./adults",5497
"47","Bodianus anthioides","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",5497
"48","Bodianus anthioides","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",5497
"49","Bodianus axillaris","nekton","finfish","bony fish",NA,"juv./adults",5498
"50","Bodianus axillaris","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5498
"51","Bodianus axillaris","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",5498
"52","Bodianus axillaris","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",5498
"53","Bodianus axillaris","zoobenthos","mollusks","bivalves",NA,"juv./adults",5498
"54","Bodianus axillaris","zoobenthos","mollusks","gastropods",NA,"juv./adults",5498
"55","Bodianus axillaris","zoobenthos","worms","polychaetes",NA,"juv./adults",5498
"56","Bodianus axillaris","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",5498
"57","Bodianus bilunulatus","nekton","finfish","n.a./other finfish",16,"adults",6580
"58","Bodianus bilunulatus","zoobenthos","benth. crust.","crabs",NA,"adults",6580
"59","Bodianus bilunulatus","zoobenthos","benth. crust.","crabs",NA,"adults",6580
"60","Bodianus bilunulatus","zoobenthos","echinoderms","n.a./other echinoderms",NA,"adults",6580
"61","Bodianus bilunulatus","zoobenthos","echinoderms","sea urchins",NA,"adults",6580
"62","Bodianus bilunulatus","zoobenthos","mollusks","bivalves",NA,"adults",6580
"63","Bodianus bilunulatus","zoobenthos","mollusks","gastropods",NA,"adults",6580
"64","Bodianus bimaculatus","nekton","finfish","bony fish",NA,"juv./adults",5499
"65","Bodianus bimaculatus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5499
"66","Bodianus bimaculatus","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",5499
"67","Bodianus bimaculatus","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",5499
"68","Bodianus bimaculatus","zoobenthos","mollusks","bivalves",NA,"juv./adults",5499
"69","Bodianus bimaculatus","zoobenthos","mollusks","gastropods",NA,"juv./adults",5499
"70","Bodianus bimaculatus","zoobenthos","worms","polychaetes",NA,"juv./adults",5499
"71","Bodianus bimaculatus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",5499
"72","Bodianus diana","nekton","finfish","bony fish",NA,"juv./adults",5500
"73","Bodianus diana","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",5500
"74","Bodianus diana","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",5500
"75","Bodianus diana","zoobenthos","mollusks","bivalves",NA,"juv./adults",5500
"76","Bodianus diana","zoobenthos","mollusks","gastropods",NA,"juv./adults",5500
"77","Bodianus diana","zoobenthos","worms","polychaetes",NA,"juv./adults",5500
"78","Bodianus diana","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",5500
"79","Bodianus dictynna","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",64242
"80","Bodianus diplotaenia","nekton","finfish","bony fish",NA,"juv./adults",8270
"81","Bodianus diplotaenia","zoobenthos","benth. crust.","crabs",NA,"juv./adults",8270
"82","Bodianus diplotaenia","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",8270
"83","Bodianus diplotaenia","zoobenthos","mollusks","bivalves",NA,"juv./adults",8270
"84","Bodianus diplotaenia","zoobenthos","mollusks","gastropods",NA,"juv./adults",8270
"85","Bodianus diplotaenia","zoobenthos","worms","polychaetes",NA,"juv./adults",8270
"86","Bodianus diplotaenia","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",8270
"87","Bodianus diplotaenia","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",8270
"88","Bodianus eclancheri","plants","other plants","benthic algae/weeds",NA,"juv./adults",8272
"89","Bodianus eclancheri","zoobenthos","other benth. invertebrates","n.a./other benth. Invertebrates",NA,"juv./adults",8272
"90","Bodianus izuensis","nekton","finfish","bony fish",NA,"juv./adults",23525
"91","Bodianus izuensis","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",23525
"92","Bodianus izuensis","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",23525
"93","Bodianus izuensis","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",23525
"94","Bodianus izuensis","zoobenthos","mollusks","bivalves",NA,"juv./adults",23525
"95","Bodianus izuensis","zoobenthos","mollusks","gastropods",NA,"juv./adults",23525
"96","Bodianus izuensis","zoobenthos","worms","polychaetes",NA,"juv./adults",23525
"97","Bodianus izuensis","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",23525
"98","Bodianus loxozonus","nekton","finfish","bony fish",NA,"juv./adults",12744
"99","Bodianus loxozonus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",12744
"100","Bodianus loxozonus","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",12744
"101","Bodianus loxozonus","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",12744
"102","Bodianus loxozonus","zoobenthos","mollusks","bivalves",NA,"juv./adults",12744
"103","Bodianus loxozonus","zoobenthos","mollusks","gastropods",NA,"juv./adults",12744
"104","Bodianus loxozonus","zoobenthos","worms","polychaetes",NA,"juv./adults",12744
"105","Bodianus masudai","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",23526
"106","Bodianus mesothorax","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5501
"107","Bodianus mesothorax","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",5501
"108","Bodianus mesothorax","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",5501
"109","Bodianus mesothorax","zoobenthos","mollusks","bivalves",NA,"juv./adults",5501
"110","Bodianus mesothorax","zoobenthos","mollusks","gastropods",NA,"juv./adults",5501
"111","Bodianus mesothorax","zoobenthos","worms","polychaetes",NA,"juv./adults",5501
"112","Bodianus neilli","nekton","finfish","bony fish",NA,"juv./adults",25412
"113","Bodianus neilli","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",25412
"114","Bodianus neilli","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",25412
"115","Bodianus neilli","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",25412
"116","Bodianus neilli","zoobenthos","mollusks","bivalves",NA,"juv./adults",25412
"117","Bodianus neilli","zoobenthos","mollusks","gastropods",NA,"juv./adults",25412
"118","Bodianus neilli","zoobenthos","worms","polychaetes",NA,"juv./adults",25412
"119","Bodianus neilli","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",25412
"120","Bodianus opercularis","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",25754
"121","Bodianus perditio","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",7734
"122","Bodianus perditio","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",7734
"123","Bodianus pulchellus","nekton","finfish","bony fish",NA,"juv./adults",1066
"124","Bodianus pulchellus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",1066
"125","Bodianus pulchellus","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",1066
"126","Bodianus pulchellus","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",1066
"127","Bodianus pulchellus","zoobenthos","mollusks","bivalves",NA,"juv./adults",1066
"128","Bodianus pulchellus","zoobenthos","mollusks","gastropods",NA,"juv./adults",1066
"129","Bodianus pulchellus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",1066
"130","Bodianus pulchellus","zoobenthos","worms","polychaetes",NA,"juv./adults",1066
"131","Bodianus pulchellus","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",1066
"132","Bodianus rufus","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",1067
"133","Bodianus rufus","zoobenthos","benth. crust.","benth. copepods",NA,"juv./adults",1067
"134","Bodianus rufus","zoobenthos","benth. crust.","isopods",NA,"juv./adults",1067
"135","Bodianus rufus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",1067
"136","Bodianus rufus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",1067
"137","Bodianus rufus","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",1067
"138","Bodianus rufus","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",1067
"139","Bodianus rufus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",1067
"140","Bodianus rufus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",1067
"141","Bodianus rufus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",1067
"142","Bodianus scrofa","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",13800
"143","Bodianus speciosus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",4955
"144","Bodianus vulpinus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",13039
"145","Centrolabrus exoletus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"adults",55
"146","Centrolabrus trutta","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",22498
"147","Cheilinus chlorourus","zoobenthos","benth. crust.","crabs",NA,"recruits/juv.",5598
"148","Cheilinus chlorourus","zoobenthos","benth. crust.","isopods",NA,"recruits/juv.",5598
"149","Cheilinus chlorourus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"recruits/juv.",5598
"150","Cheilinus chlorourus","zoobenthos","benth. crust.","shrimps/prawns",NA,"recruits/juv.",5598
"151","Cheilinus chlorourus","zoobenthos","mollusks","gastropods",NA,"recruits/juv.",5598
"152","Cheilinus chlorourus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",5598
"153","Cheilinus fasciatus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5600
"154","Cheilinus fasciatus","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",5600
"155","Cheilinus fasciatus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",5600
"156","Cheilinus lunulatus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",12780
"157","Cheilinus trilobatus","nekton","finfish","n.a./other finfish",NA,"juv./adults",5603
"158","Cheilinus trilobatus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5603
"159","Cheilinus trilobatus","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",5603
"160","Cheilinus trilobatus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",5603
"161","Cheilinus undulatus","nekton","finfish","bony fish",NA,"juv./adults",5604
"162","Cheilinus undulatus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5604
"163","Cheilinus undulatus","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",5604
"164","Cheilinus undulatus","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",5604
"165","Cheilinus undulatus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",5604
"166","Cheilinus undulatus","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"adults",5604
"167","Cheilio inermis","nekton","finfish","bony fish",NA,"juv./adults",5623
"168","Cheilio inermis","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",5623
"169","Cheilio inermis","zoobenthos","benth. crust.","crabs",NA,"adults",5623
"170","Cheilio inermis","zoobenthos","benth. crust.","crabs",NA,"adults",5623
"171","Cheilio inermis","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5623
"172","Cheilio inermis","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5623
"173","Cheilio inermis","zoobenthos","benth. crust.","shrimps/prawns",NA,"adults",5623
"174","Cheilio inermis","zoobenthos","echinoderms","sea urchins",NA,"adults",5623
"175","Cheilio inermis","zoobenthos","mollusks","bivalves",NA,"adults",5623
"176","Cheilio inermis","zoobenthos","mollusks","gastropods",NA,"adults",5623
"177","Choerodon anchorago","zoobenthos","benth. crust.","amphipods",NA,"recruits/juv.",5502
"178","Choerodon anchorago","zoobenthos","benth. crust.","crabs",NA,"juv./adults",5502
"179","Choerodon anchorago","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5502
"180","Choerodon anchorago","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"recruits/juv.",5502
"181","Choerodon anchorago","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",5502
"182","Choerodon anchorago","zoobenthos","mollusks","bivalves",NA,"juv./adults",5502
"183","Choerodon anchorago","zoobenthos","mollusks","gastropods",NA,"juv./adults",5502
"184","Choerodon anchorago","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",5502
"185","Choerodon anchorago","zoobenthos","worms","polychaetes",NA,"recruits/juv.",5502
"186","Choerodon azurio","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",49409
"187","Choerodon cephalotes","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",10848
"188","Choerodon cephalotes","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",10848
"189","Choerodon cephalotes","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",10848
"190","Choerodon cyanodus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",12934
"191","Choerodon fasciatus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",12722
"192","Choerodon fasciatus","zoobenthos","echinoderms","n.a./other echinoderms",NA,"juv./adults",12722
"193","Choerodon fasciatus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",12722
"194","Choerodon fasciatus","zoobenthos","worms","n.a./other annelids",NA,"juv./adults",12722
"195","Choerodon graphicus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",8128
"196","Choerodon graphicus","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",8128
"197","Choerodon graphicus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",8128
"198","Choerodon jordani","zoobenthos","other benth. invertebrates","n.a./other benth. invertebrates",NA,"juv./adults",6597
"199","Choerodon robustus","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",6926
"200","Choerodon robustus","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",6926
"201","Choerodon robustus","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",6926
"202","Choerodon schoenleinii","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",6433
"203","Choerodon schoenleinii","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",6433
"204","Choerodon schoenleinii","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",6433
"205","Cirrhilabrus balteatus","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",25760
"206","Cirrhilabrus blatteus","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",25759
"207","Cirrhilabrus cyanopleura","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",5106
"208","Cirrhilabrus exquisitus","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",5614
"209","Cirrhilabrus filamentosus","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",10615
"210","Cirrhilabrus johnsoni","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",25762
"211","Cirrhilabrus jordani","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",7768
"212","Cirrhilabrus laboutei","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",13023
"213","Cirrhilabrus lubbocki","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",13041
"214","Cirrhilabrus luteovittatus","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",17451
"215","Cirrhilabrus melanomarginatus","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",7585
"216","Cirrhilabrus rhomboidalis","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",25763
"217","Cirrhilabrus rubripinnis","zooplankton","plank. crust.","n.a./other plank. crustaceans",NA,"juv./adults",13042
"218","Cirrhilabrus rubriventralis","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",12781
"219","Cirrhilabrus scottorum","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",12728
"220","Cirrhilabrus temminckii","zooplankton","other plank. invertebrates","n.a./other plank. Invertebrates",NA,"juv./adults",5484
"221","Clepticus parrae","zooplankton","jellyfish/hydroids","jellyfish/hydroids",20,"juv./adults",3656
"222","Clepticus parrae","zooplankton","other plank. invertebrates","n.a./other plank. invertebrates",NA,"juv./adults",3656
"223","Coris aygula","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",5624
"224","Coris aygula","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",5624
"225","Coris aygula","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",5624
"226","Coris batuensis","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",25688
"227","Coris bulbifrons","zoobenthos","benth. crust.","crabs",NA,"juv./adults",12729
"228","Coris bulbifrons","zoobenthos","mollusks","bivalves",NA,"juv./adults",12729
"229","Coris bulbifrons","zoobenthos","mollusks","gastropods",NA,"juv./adults",12729
"230","Coris caudimacula","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",8026
"231","Coris caudimacula","zoobenthos","benth. crust.","crabs",NA,"juv./adults",8026
"232","Coris caudimacula","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",8026
"233","Coris caudimacula","zoobenthos","mollusks","gastropods",NA,"juv./adults",8026
"234","Coris caudimacula","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",8026
"235","Coris caudimacula","zoobenthos","worms","polychaetes",NA,"juv./adults",8026
"236","Coris cuvieri","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",52844
"237","Coris cuvieri","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",52844
"238","Coris cuvieri","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",52844
"239","Coris formosa","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",7736
"240","Coris formosa","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",7736
"241","Coris formosa","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",7736
"242","Coris gaimard","zoobenthos","benth. crust.","crabs",NA,"adults",5625
"243","Coris gaimard","zoobenthos","benth. crust.","crabs",NA,"adults",5625
"244","Coris gaimard","zoobenthos","mollusks","n.a./other mollusks",NA,"adults",5625
"245","Coris gaimard","zoobenthos","other benth. invertebrates","n.a./other benth. Invertebrates",NA,"juv./adults",5625
"246","Coris gaimard","zoobenthos","sponges/tunicates","ascidians",NA,"juv./adults",5625
"247","Coris julis","plants","other plants","benthic algae/weeds",NA,"juv./adults",58
"248","Coris julis","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",58
"249","Coris julis","zoobenthos","benth. crust.","benth. copepods",NA,"juv./adults",58
"250","Coris julis","zoobenthos","benth. crust.","isopods",NA,"juv./adults",58
"251","Coris julis","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",58
"252","Coris julis","zoobenthos","benth. crust.","shrimps/prawns",NA,"juv./adults",58
"253","Coris julis","zoobenthos","echinoderms","sea urchins",NA,"juv./adults",58
"254","Coris julis","zoobenthos","mollusks","bivalves",NA,"juv./adults",58
"255","Coris julis","zoobenthos","mollusks","bivalves",NA,"juv./adults",58
"256","Coris julis","zoobenthos","mollusks","gastropods",NA,"juv./adults",58
"257","Coris julis","zoobenthos","mollusks","gastropods",NA,"juv./adults",58
"258","Coris julis","zoobenthos","mollusks","gastropods",NA,"juv./adults",58
"259","Coris julis","zoobenthos","mollusks","n.a./other cephalopods",NA,"juv./adults",58
"260","Coris julis","zoobenthos","mollusks","n.a./other mollusks",NA,"juv./adults",58
"261","Coris julis","zoobenthos","worms","non-annelids",NA,"juv./adults",58
"262","Coris julis","zoobenthos","worms","polychaetes",NA,"juv./adults",58
"263","Coris variegata","zoobenthos","other benth. invertebrates","n.a./other benth. Invertebrates",NA,"juv./adults",5485
"264","Ctenolabrus rupestris","nekton","finfish","bony fish",NA,"juv./adults",61
"265","Ctenolabrus rupestris","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",61
"266","Ctenolabrus rupestris","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",61
"267","Ctenolabrus rupestris","zoobenthos","benth. crust.","amphipods",NA,"juv./adults",61
"268","Ctenolabrus rupestris","zoobenthos","benth. crust.","benth. copepods",NA,"juv./adults",61
"269","Ctenolabrus rupestris","zoobenthos","benth. crust.","benth. copepods",NA,"juv./adults",61
"270","Ctenolabrus rupestris","zoobenthos","benth. crust.","crabs",NA,"juv./adults",61
"271","Ctenolabrus rupestris","zoobenthos","benth. crust.","crabs",NA,"juv./adults",61
"272","Ctenolabrus rupestris","zoobenthos","benth. crust.","crabs",NA,"juv./adults",61
"273","Ctenolabrus rupestris","zoobenthos","benth. crust.","crabs",NA,"juv./adults",61
"274","Ctenolabrus rupestris","zoobenthos","benth. crust.","lobsters",NA,"juv./adults",61
"275","Ctenolabrus rupestris","zoobenthos","benth. crust.","lobsters",NA,"juv./adults",61
"276","Ctenolabrus rupestris","zoobenthos","benth. crust.","n.a./other benth. crustaceans",NA,"juv./adults",61
"277","Ctenolabrus rupestris","zoobenthos","echinoderms","sea stars/brittle stars",NA,"juv./adults",61
"278","Ctenolabrus rupestris","zoobenthos","mollusks","bivalves",NA,"juv./adults",61
"279","Ctenolabrus rupestris","zoobenthos","mollusks","bivalves",NA,"juv./adults",61
"280","Ctenolabrus rupestris","zoobenthos","mollusks","bivalves",NA,"juv./adults",61
"281","Ctenolabrus rupestris","zoobenthos","mollusks","bivalves",NA,"juv./adults",61
"282","Ctenolabrus rupestris","zoobenthos","mollusks","bivalves",NA,"juv./adults",61
"283","Ctenolabrus rupestris","zoobenthos","mollusks","bivalves",NA,"juv./adults",61
"284","Ctenolabrus rupestris","zoobenthos","mollusks","gastropods",NA,"juv./adults",61
"285","Ctenolabrus rupestris","zoobenthos","mollusks","gastropods",NA,"juv./adults",61
"286","Ctenolabrus rupestris","zoobenthos","mollusks","gastropods",NA,"juv./adults",61
"287","Ctenolabrus rupestris","zoobenthos","mollusks","gastropods",NA,"juv./adults",61
"288","Ctenolabrus rupestris","zoobenthos","mollusks","gastropods",NA,"juv./adults",61
"289","Ctenolabrus rupestris","zoobenthos","mollusks","gastropods",NA,"juv./adults",61
