"","sciname","SpecCode","IUCN_Code","Resilience","BodyShapeI","DemersPelag","DepthRangeShallow","DepthRangeDeep","LongevityWild","Vulnerability","Length","CommonLength","Weight","Importance","PriceCateg","PriceReliability","Aquarium","AquariumFishII","Comments"
"11","Anampses lennardi",4917,"LC","Medium",NA,"reef-associated",NA,24,NA,33.42,28,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults are found from the surge zone to at least 24 m (Ref. 9710).  They occur singly or in pairs (Ref. 9710).  Feed on small invertebrates (Ref. 9710).  Oviparous, distinct pairing during breeding (Ref. 205).  They have relatively little change in color with sex or age.  A good food fish (Ref. 3132)."
"12","Anampses lineatus",7800,"DD","High","fusiform / normal","reef-associated",10,45,NA,23.16,13,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults inhabit lagoon and seaward reefs, usually deeper than 20 m to at least 42 m (Ref. 9710).  Juveniles are solitary and adults form small groups, each with several females and a dominant male (Ref. 48636).  Oviparous, distinct pairing during breeding (Ref. 205).  Minimum depth reported from Ref. 27115."
"13","Anampses melanurus",5622,"LC","High","fusiform / normal","reef-associated",15,40,NA,21.88,12,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults occur in seaward reefs (Ref. 1602).  Also in deep coastal to outer reef slopes and drop-offs (Ref. 48636).  Solitary or in pairs in the surge zone, rarely to 30 m (Ref. 9710).  They swim in small groups, each with several females and a single dominant male (Ref. 48636).  Feed on small crustaceans, mollusks and polychaetes.  Bury in sand at night (Ref. 9710).  Oviparous, distinct pairing during breeding (Ref. 205)."
"14","Anampses meleagrides",4889,"LC","Medium","fusiform / normal","reef-associated",3,60,NA,30.16,22,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults are found in areas of mixed coral, rubble, consolidated limestone, and sand of seaward reefs; also in soft coral or sponge habitats (Ref. 48636).  Oviparous, distinct pairing during breeding (Ref. 205).   Minimum depth reported taken from Ref. 30874."
"15","Anampses neoguinaicus",4890,"LC","Medium","fusiform / normal","reef-associated",4,30,NA,34.69,20,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","An inshore species inhabiting shallow coral reefs (Ref. 9823), with patches of sand and rubble (Ref. 37816), also along upper part of slopes and on reef crests with <i>Acropora</i> corals.  Adults occur in small loose groups of females with dominant male nearby.  Juveniles occur solitary in corals (Ref. 48636).  Feed on benthic invertebrates.  Oviparous, distinct pairing during breeding (Ref. 205).   Occasionally seen in fish markets and aquarium trade."
"16","Anampses twistii",4893,"LC","High","fusiform / normal","reef-associated",5,30,NA,27.47,18,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults occur in clear lagoon and seaward reefs from the lower surge zone to a depth of 30 m (Ref. 1602).  Usually in areas with mixed rubble, coral, or rock and sand (Ref. 9710).  Usually solitary among large corals.  Small juveniles swim with their head down, keeping dorsal and anal fins erected, and may seem like the face of a larger fish when viewed from side on by a predator (Ref. 48636).  Oviparous, distinct pairing during breeding (Ref. 205).   Occasionally seen in fish markets and aquarium trade."
"17","Anchichoerops natalensis",14328,"LC","Low","fusiform / normal","reef-associated",NA,60,NA,61.06,75,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Adults occur in rocky areas.  Feed mainly on  mollusks, crustaceans and sea urchins (Ref. 5374).  Oviparous, distinct pairing during breeding (Ref. 205)."
"18","Austrolabrus maculatus",47036,"LC","High",NA,"reef-associated",10,40,NA,26.28,12.55,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Adults occur inshore (Ref. 75154).  Oviparous, distinct pairing during breeding (Ref. 205)."
"19","Bodianus albotaeniatus",66314,"LC","Medium",NA,"reef-associated",NA,NA,NA,46.29,32.8,NA,NA,NA,NA,NA,"never/rarely",NA,NA
"20","Bodianus anthioides",5497,"LC","Medium","fusiform / normal","reef-associated",6,60,NA,39.21,24,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults inhabit seaward reefs.  They occur on reefs rich with invertebrates such as gorgonians, seawhips and black corals (Ref. 48636).  Common along steep outer reef slopes deeper than 25 m in Micronesia.  Usually seen as lone individuals (Ref. 48636).  Juveniles pose as cleaners (Ref. 8631).  May be solitary or may exist in pairs (Ref. 5503).  Oviparous, distinct pairing during breeding (Ref. 205)."
"21","Bodianus axillaris",5498,"LC","Medium","fusiform / normal","reef-associated",2,100,NA,34.69,20,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults inhabit clear lagoon and seaward reefs (Ref. 1602); common in clear shallow waters at 1-8 m; large individuals occasionally at greater depths below 27 m (Ref. 75973).  Juveniles occur solitary in caves or under ledges and act as cleaners by picking at bodies of other fishes (adults occasionally do this) (Ref. 1602); occurring regularly at depths of 14-26 m (Ref. 75973).  Feed mainly on benthic, hard-shelled, invertebrates such as mollusks and crustaceans (Ref. 9823).  Oviparous, distinct pairing during breeding (Ref. 205).  Not commonly marketed.  Occasionally seen in the aquarium trade."
"22","Bodianus bathycapros",64025,"LC","Low",NA,"reef-associated",165,256,NA,56.06,45.6,NA,NA,NA,NA,NA,"never/rarely",NA,"Restricted to deep waters, observed from submersible at 185-190 m at various substrates (Ref. 75973).  Oviparous, distinct pairing during breeding (Ref. 205)."
"23","Bodianus bilunulatus",6580,"LC","Low","fusiform / normal","reef-associated",3,160,NA,53.04,55,NA,1812,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults occur on deep reef slopes rich with invertebrates such as sponges and seawhips, but young adults are occasionally seen much shallower (Ref. 48636).  Usually solitary in coral and rocky reefs.  Feed mainly on benthic, hard-shelled, invertebrates such as mollusks and crustaceans.  Protogynous (Ref. 55080).  Oviparous, distinct pairing during breeding (Ref. 205)."
"24","Bodianus bimaculatus",5499,"LC","High","fusiform / normal","reef-associated",30,60,NA,18.38,10,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults are common around rubble and sand in steep outer reef slopes (Ref. 9710), and drop-offs, usually adjacent to very deep water.  They form small aggregations in soft bottom habitats with sponges and soft corals.  The group usually comprising juveniles and females which are dominated by a large male (Ref. 48636).  Oviparous, distinct pairing during breeding (Ref. 205)."
"25","Bodianus busellatus",64243,"LC","Medium",NA,"reef-associated",NA,NA,NA,48.1,NA,NA,NA,NA,NA,NA,"never/rarely",NA,"Oviparous, distinct pairing during breeding (Ref. 205)."
"26","Bodianus cylindriatus",23523,"LC","High","fusiform / normal","reef-associated",250,510,NA,28.7,14.2,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Benthopelagic over hard substrates (Ref. 58302).  Oviparous, distinct pairing during breeding (Ref. 205)."
"27","Bodianus diana",5500,"LC","Medium","fusiform / normal","reef-associated",6,50,NA,31.74,16.9,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults are found in coral rich areas of seaward reefs (Ref. 5213). Reported to be associated with the mushroom <i>Heliofungia actiniformis</i> (Ref. 91291). Oviparous, distinct pairing during breeding (Ref. 205)."
"28","Bodianus dictynna",64242,"LC","High",NA,"reef-associated",5,100,NA,29.04,14.4,NA,NA,NA,NA,NA,"never/rarely",NA,"Reported to be almost always associated with living coral reefs and juveniles are often found near black coral and gorgonians (Ref. 75973).  Juveniles often shelter near black corals and gorgonians; also frequent cave ceilings (Ref. 8631).  Feed mainly on benthic  invertebrates such as mollusks and crustaceans.  Juveniles regularly remove parasites from other fishes (Ref. 48636).  Oviparous, distinct pairing during breeding (Ref. 205)."
"29","Bodianus diplotaenia",8270,"LC","Low","fusiform / normal","reef-associated",5,76,NA,61.24,76,45,9000,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults inhabit rocky or coral areas (Ref. 9311).  Sometimes also found on sandy  bottoms and where marine plants abound (Ref. 9311).  Solitary or forms aggregations of only a few individuals.  Feed on crabs, brittle stars, mollusks, and sea urchins (Ref. 9311).  At night, they agglomerate in cracks and crevices of rocks and caves to sleep (Ref. 9311).  Marketed fresh (Ref. 9311).  Starts life as a female, later becoming a functional male.  Males defend temporary reproductive territories called leks. Sex change may be due to local social conditions, but it may also have a genetic component, since the reversal occurs over a limited size range (Ref. 28023).  Oviparous, distinct pairing during breeding (Ref. 205)."
"30","Bodianus eclancheri",8272,"LC","Low","fusiform / normal","reef-associated",5,46,NA,56.57,61,40,NA,"of no interest",NA,NA,"commercial","based mainly on capture","A sequentially protogynous hermaphrodite.  In the Galapagos, the colorful appearance may be due to selective pressures and their increased feeding and decreased reproductive activities may serve to avoid extraordinary predation (Ref. 9227).  Adults forage on a wide range of invertebrates and algae (Ref. 28023).  Oviparous, distinct pairing during breeding (Ref. 205)."
"31","Bodianus flavifrons",60823,"LC","Low","fusiform / normal","bathydemersal",114,340,NA,54.13,42.2,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Benthic species which is found on the continental shelf and continental slope (Ref. 75154).  Oviparous, distinct pairing during breeding (Ref. 205)."
"32","Bodianus flavipinnis",60820,"DD","Medium","fusiform / normal","demersal",157,250,NA,49.6,36.8,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Adults are found in caves and archways on reefs (Ref. 44106).  Likely to occur in depths greater than 250 m (Ref. 44106).  Oviparous, distinct pairing during breeding (Ref. 205)."
"33","Bodianus frenchii",52463,"NT","Medium",NA,"reef-associated",10,40,NA,47.82,45,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Adults occur inshore (Ref. 75154).  Found in oceanic reefs in 10-40 m, usually in caves (Ref. 9002).  Oviparous, distinct pairing during breeding (Ref. 205)."
"34","Bodianus insularis",14401,"LC","Medium",NA,"reef-associated",6,60,NA,36.17,33,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Caught in areas of rock and rubble bottoms associated with sand or reef-like areas.  Protogynous hermaphrodite, with obvious sexual dichromatism (Ref. 5292).  Oviparous, distinct pairing during breeding (Ref. 205). Juveniles remove ectoparasites from other species (Ref. 86997)."
"35","Bodianus izuensis",23525,"DD","High","fusiform / normal","reef-associated",30,70,NA,22.58,10,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial",NA,"Adults occur on deep rocky reefs (Ref. 75973).  Oviparous, distinct pairing during breeding (Ref. 205)."
"36","Bodianus leucosticticus",7716,"LC","Medium","fusiform / normal","reef-associated",50,75,NA,39.28,24.2,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Adults are usually found at moderate depths (50 m).  Oviparous, distinct pairing during breeding (Ref. 205)."
"37","Bodianus loxozonus",12744,"LC","Medium","fusiform / normal","reef-associated",3,100,NA,46.47,47,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults inhabit clear lagoon and seaward reefs (Ref. 1602), on slopes or along upper part of drop-offs (Ref. 48636).  Feed mainly on benthic, hard-shelled, invertebrates such as mollusks and crustaceans (Ref. 9823).  Oviparous, distinct pairing during breeding (Ref. 205)."
"38","Bodianus macrognathos",14330,"LC","Low","fusiform / normal","reef-associated",25,65,NA,56.56,62,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Adults live in areas with rocky bottoms (Ref. 5374).  Juveniles have been observed in 3 m (Ref. 75973).  Oviparous, distinct pairing during breeding (Ref. 205)."
"39","Bodianus macrourus",14334,"LC","Medium","fusiform / normal","reef-associated",10,40,NA,35.6,32,NA,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Adults inhabit exposed seaward reefs with sand patches (Ref. 9710).  Oviparous, distinct pairing during breeding (Ref. 205)."
"40","Bodianus masudai",23526,"LC","High","fusiform / normal","reef-associated",30,113,NA,25.64,12,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Specimens were collected from rocky reefs at 30-113 m depths, but may be more common at greater depths (Ref. 75973).  Oviparous, distinct pairing during breeding (Ref. 205)."
"41","Bodianus mesothorax",5501,"LC","Medium","fusiform / normal","reef-associated",5,40,NA,31.97,25,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Ranging into subtropical zones as juveniles expatriate caused by warm currents during pelagic stage (Ref. 48636).  Adults inhabit coral-rich outer reef slopes at depths of 5 to over 20 m, particularly near caves.  Juveniles in caves; adults swim openly about, but usually close to the substrate, and often engage in cleaning larger fishes (Ref. 48636).  Oviparous, distinct pairing during breeding (Ref. 205)."
"42","Bodianus neilli",25412,"LC","Medium","fusiform / normal","reef-associated",5,18,NA,28.88,20,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial",NA,"Adults inhabit shallow coastal reefs and turbid lagoon reefs (Ref. 9710).  Oviparous, distinct pairing during breeding (Ref. 205)."
"43","Bodianus neopercularis",64023,"DD","High",NA,"reef-associated",NA,50,NA,22.42,9.72,NA,NA,NA,NA,NA,"never/rarely",NA,"Collected on vertical drop-offs at depths of about 50 m (Ref. 75973).  Oviparous, distinct pairing during breeding (Ref. 205)."
"44","Bodianus opercularis",25754,"LC","High","fusiform / normal","reef-associated",35,75,NA,27.47,18,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Adults inhabit rubble bottoms of steep outer reef slopes (Ref. 75973).  Oviparous, distinct pairing during breeding (Ref. 205)."
"45","Bodianus oxycephalus",6925,"DD","Medium","fusiform / normal","reef-associated",NA,NA,NA,43.3,29,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Oviparous, distinct pairing during breeding (Ref. 205)."
"46","Bodianus paraleucosticticus",64026,"DD","High","fusiform / normal","reef-associated",50,115,NA,22.58,9.91,NA,NA,NA,NA,NA,"never/rarely",NA,"Oviparous, distinct pairing during breeding (Ref. 205)."
"47","Bodianus perditio",7734,"LC","Very low","fusiform / normal","reef-associated",10,120,NA,68.78,80,NA,312,"commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","This species is reported to be found on deep offshore reefs as adults, but juveniles may occur as shallow as 9 m (Ref. 75973).  Also, adults inhabit the vicinity of coral and rocky reefs, often over sand or rubble in deeper water.  Feed mainly on benthic invertebrates such as mollusks and crustaceans (Ref. 9823).  Oviparous, distinct pairing during breeding (Ref. 205).  An excellent food fish (Ref. 3132)."
"48","Bodianus prognathus",46474,"LC","Medium","fusiform / normal","reef-associated",7,30,NA,32.9,17.9,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Found around folios corals and rarely swims out in the open.  Adults found between 7 and 20 m, while juveniles were seen only below 30 m depth (Ref. 13850).  Oviparous, distinct pairing during breeding (Ref. 205)."
"49","Bodianus pulchellus",1066,"LC","Medium","fusiform / normal","reef-associated",15,120,NA,33.93,28.5,18,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults inhabit coral and rocky reefs, rarely at depths greater than 24 m (Ref. 9710).  Feed on crabs and small shellfish (Ref. 3726).  Juveniles pick parasites from other fishes (Ref. 9710).  Oviparous, distinct pairing during breeding (Ref. 205).  May hybridize with Spanish hogfish, <i>B. rufus</i> (Ref. 40096).  Marketed fresh (Ref. 3726)."
"50","Bodianus rubrisos",64241,"DD","Medium",NA,"reef-associated",50,103,NA,35.3,20.2,NA,NA,NA,NA,NA,"never/rarely",NA,"Photos of individuals taken with maximum size up to about 30 cm SL (Ref. 75973).  Oviparous, distinct pairing during breeding (Ref. 205)."
"51","Bodianus rufus",1067,"LC","Medium","fusiform / normal","reef-associated",1,70,NA,39.33,40,28,1020,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults inhabit rocky or coral reefs (Ref. 9710).  Feed on brittle stars, crustaceans, mollusks, and sea urchins (Ref. 9710).  Juveniles actively pick parasites from larger fishes (Ref. 5521).  A protogynous hermaphrodite (Ref. ).  Oviparous, distinct pairing during breeding (Ref. 205).  May hybridize with spotfin hogfish, <i>B. pulchellus</i> (Ref. 40096).  Marketed fresh (Ref. 3726).  Maximum depth reported from Ref. 27115."
"52","Bodianus sanguineus",46491,"LC","Medium",NA,"reef-associated",30,168,NA,34.06,19,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Benthopelagic (Ref. 58302).  Reported to have been encountered it most often in pairs, one individual usually being much larger than the other; appears to be among the deepest ranging of the subgenus <i>Trochocopus</i>, collected at depths of 67 to 238 m, but apparently preferring depths of 100-120 m (Ref. 75973).  Oviparous, distinct pairing during breeding (Ref. 205)."
"53","Bodianus scrofa",13800,"VU","Medium","fusiform / normal","reef-associated",20,200,NA,45.14,43,30,NA,"minor commercial","very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Adults inhabit rocky bottoms (Ref. 2683).  Oviparous, distinct pairing during breeding (Ref. 205).  Sold fresh in markets."
"54","Bodianus sepiacaudus",64240,"DD","High",NA,"reef-associated",20,75,NA,19.69,8.67,NA,NA,NA,NA,NA,"never/rarely",NA,"This species has been photographed at depths of 25-50 m, with adults occurring in groups along ledges on steep dropoffs at depths greater than 20 m, and juveniles observed at about 50 m (Ref. 75973).  Oviparous, distinct pairing during breeding (Ref. 205)."
"55","Bodianus solatus",64244,"DD","Medium",NA,"reef-associated",NA,NA,NA,47.69,35,NA,NA,NA,NA,NA,"never/rarely",NA,"Oviparous, distinct pairing during breeding (Ref. 205)."
"56","Bodianus speciosus",4955,"DD","Low","fusiform / normal","reef-associated",3,70,NA,59.51,50,40,NA,"commercial","very high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Adults inhabit rocky and reef-like areas, rich in algae (Ref. 26999).  A protogynous hermaphrodite (Ref. 5292).  Oviparous, distinct pairing during breeding (Ref. 205)."
"57","Bodianus tanyokidus",23527,"DD","Medium",NA,"reef-associated",NA,NA,NA,32.51,17.7,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Oviparous, distinct pairing during breeding (Ref. 205)."
"58","Bodianus thoracotaeniatus",23524,"DD","High","fusiform / normal","reef-associated",320,395,NA,29.45,14.8,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Oviparous, distinct pairing during breeding (Ref. 205)."
"59","Bodianus trilineatus",59649,"LC","Medium","fusiform / normal","reef-associated",73,200,NA,33.42,28,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Oviparous, distinct pairing during breeding (Ref. 205)."
"60","Bodianus unimaculatus",27512,"LC","Low","fusiform / normal","reef-associated",0,60,NA,53.18,50,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Adults are found offshore, on deep reefs or islands (Ref. 9002).  Oviparous, distinct pairing during breeding (Ref. 205)."
"61","Bodianus vulpinus",13039,"LC","Low","fusiform / normal","reef-associated",100,250,NA,55.82,43.5,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family",NA,NA,"Inhabits sandy bottom and some rock and coral rubble (Ref. 75973); adults inhabit rock reef (Ref. 75154).  Oviparous, distinct pairing during breeding (Ref. 205)."
"62","Bolbometopon muricatum",5537,"VU","Low","fusiform / normal","reef-associated",1,40,NA,67.49,130,70,46000,"commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Juveniles found in lagoons; adults in clear outer lagoon and seaward reefs up to depths of at least 30 m (Ref. 9710).  Usually in small groups.  Feeds on benthic algae, live corals (Ref. 9710) and shellfishes (Ref. 58784).  May ram its head against corals to facilitate feeding (Ref. 9710).  Sleeps in caves and often in shipwrecks at night (Ref. 48636).  The largest and wariest of the parrotfishes.  Vulnerable to overfishing (Ref. 9710)."
"63","Calotomus carolinus",4355,"LC","Medium","fusiform / normal","reef-associated",1,71,NA,34.31,54,NA,NA,"commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Inhabits subtidal reef flats, and lagoon and seaward reefs to a depths of at least 27 m (Ref. 1602).  Found in coral, rubble, seagrass (Ref. 41878, 58302) and weedy areas (Ref. 9710).  Benthopelagic (Ref. 58302).  Found singly or in small groups (Ref. 9710).  Feeds on a variety of benthic encrusting algae, e.g., <i>Padina</i> (Ref. 37816)  and seagrasses.  A protogynous hermaphrodite which may only have secondary males.  Caught with nets and other types of artisanal gear."
"64","Calotomus japonicus",4356,"LC","High","short and / or deep","reef-associated",NA,NA,NA,28.14,39,NA,NA,"commercial","high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Apparently confined to coastal waters in rocky areas with seaweeds (Ref. 9710)."
"65","Calotomus spinidens",4357,"LC","High","fusiform / normal","reef-associated",1,25,NA,17.65,30,NA,NA,"commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial",NA,"Found in coastal bays and deep lagoons (Ref. 48636).  Inhabits seagrass beds or dense beds of algae.  Well-camouflaged and easily overlooked (Ref. 48636).  Feeds on these or the associated epiphytes.  Caught nets and other types of artisanal gear."
"66","Calotomus viridescens",4358,"LC","High","short and / or deep","reef-associated",NA,30,NA,22.15,21,NA,NA,"minor commercial","high","Very questionable: based on ex-vessel price for species in this family","commercial",NA,"Inhabits coral and rocky reefs and grass bed areas to depths of about 30 m (Ref. 9710).  Occurs singly or in small groups (Ref. 9710).  Feeds mainly on marine angiosperms and epiphytic algae.  Caught mainly with traps, nets and other types of artisanal gear."
"67","Calotomus zonarchus",4359,"LC","High","short and / or deep","reef-associated",12,170,NA,25.28,33,NA,NA,NA,"high","Very questionable: based on ex-vessel price for species in this family","commercial","based mainly on capture","Occurs in areas of coral rock with coral or rubble, from the lower surge zone to at least 10 m (Ref. 9710).  Benthopelagic (Ref. 58302).  Protogynous (Ref. 55080)."
"68","Centrolabrus caeruleus",57256,"LC","Medium","fusiform / normal","demersal",1,30,NA,36.6,21.5,NA,NA,NA,"very high","Very questionable: based on ex-vessel price for species in this family","never/rarely",NA,"Oviparous, distinct pairing during breeding (Ref. 205).  Males build dish shaped nests and guard the eggs (Ref. 205)."
"69","Centrolabrus exoletus",55,"LC","Medium","fusiform / normal","reef-associated",NA,NA,6,20,18,12,NA,"of no interest",NA,NA,"public aquariums",NA,"Adults are found in eel-grass beds near rocks.  Feed on small invertebrates (Ref. 4742).  Eggs are laid in the summer in a seaweed nest (Ref. 35388).  Males grow faster than females (Ref. 4792).  Oviparous, distinct pairing during breeding (Ref. 205).  Used in salmon culture as cleaner fish (Helmut Tethmeyer, pers. comm.)."
