"","sciname","DepthRangeShallow","DepthRangeDeep","Length","CommonLength","SpecCode"
"58","Bodianus thoracotaeniatus",320,395,14.8,NA,23524
"59","Bodianus trilineatus",73,200,28,NA,59649
"60","Bodianus unimaculatus",0,60,50,NA,27512
"61","Bodianus vulpinus",100,250,43.5,NA,13039
"62","Centrolabrus caeruleus",1,30,21.5,NA,57256
"63","Centrolabrus exoletus",NA,NA,18,12,55
"64","Centrolabrus trutta",5,15,18,10,22498
"65","Cheilinus abudjubbe",NA,10,21.8,22,60813
"66","Cheilinus chlorourus",1,30,45,NA,5598
"67","Cheilinus fasciatus",4,60,40,NA,5600
"68","Cheilinus lunulatus",2,30,50,35,12780
"69","Cheilinus oxycephalus",1,40,17,NA,5602
"70","Cheilinus trilobatus",1,30,45,NA,5603
"71","Cheilinus undulatus",1,100,229,60,5604
"72","Cheilio inermis",1,30,50,35,5623
"73","Choerodon anchorago",1,25,50,NA,5502
"74","Choerodon azurio",NA,NA,40,NA,49409
"75","Choerodon cauteroma",NA,NA,36,NA,59634
"76","Choerodon cephalotes",NA,NA,38,NA,10848
"77","Choerodon cyanodus",NA,NA,70,NA,12934
"78","Choerodon fasciatus",5,35,30,NA,12722
"79","Choerodon frenatus",NA,60,NA,NA,59644
"80","Choerodon gomoni",NA,82,10.3,NA,60807
"81","Choerodon graphicus",15,40,51.5,NA,8128
"82","Choerodon gymnogenys",NA,NA,20,NA,23519
"83","Choerodon jordani",15,30,17,NA,6597
"84","Choerodon margaritiferus",NA,72,11,NA,58165
"85","Choerodon melanostigma",NA,NA,NA,NA,51741
"86","Choerodon monostigma",10,40,25,NA,6615
"87","Choerodon oligacanthus",2,15,28.2,NA,8406
"88","Choerodon paynei",NA,NA,NA,NA,59635
"89","Choerodon robustus",40,70,35,NA,6926
"90","Choerodon rubescens",NA,NA,90,NA,25756
"91","Choerodon schoenleinii",10,60,100,NA,6433
"92","Choerodon sugillatum",NA,30,24,NA,59636
"93","Choerodon venustus",NA,NA,65,NA,12935
"94","Choerodon vitta",10,40,20,NA,10853
"95","Choerodon zamboangae",25,60,45,NA,10548
"96","Choerodon zosterophorus",10,40,25,NA,51738
"97","Cirrhilabrus adornatus",10,30,6.34,NA,56636
"98","Cirrhilabrus aurantidorsalis",10,25,10,NA,59628
"99","Cirrhilabrus balteatus",7,22,10,NA,25760
"100","Cirrhilabrus bathyphilus",60,217,7.6,NA,59880
"101","Cirrhilabrus beauperryi",5,32,8.51,NA,64182
"102","Cirrhilabrus blatteus",40,50,16,NA,25759
"103","Cirrhilabrus brunneus",30,60,4.36,NA,63981
"104","Cirrhilabrus cenderawasih",22,60,6.51,NA,63948
"105","Cirrhilabrus claire",55,100,8.4,NA,59481
"106","Cirrhilabrus condei",5,70,8,NA,54179
"107","Cirrhilabrus cyanopleura",2,30,15,NA,5106
"108","Cirrhilabrus earlei",60,92,6.91,NA,59510
"109","Cirrhilabrus exquisitus",6,40,12,NA,5614
"110","Cirrhilabrus filamentosus",10,35,8,NA,10615
"111","Cirrhilabrus flavidorsalis",6,40,6.5,NA,46517
"112","Cirrhilabrus humanni",10,25,5.45,NA,66867
"113","Cirrhilabrus joanallenae",12,40,8.5,NA,60740
"114","Cirrhilabrus johnsoni",18,28,6,4.7,25762
"115","Cirrhilabrus jordani",5,186,10,NA,7768
"116","Cirrhilabrus katherinae",10,40,7.1,NA,7582
"117","Cirrhilabrus katoi",20,40,7.51,NA,57798
"118","Cirrhilabrus laboutei",7,55,12,NA,13023
"119","Cirrhilabrus lanceolatus",42,60,8.8,NA,7583
"120","Cirrhilabrus lineatus",1,55,12,NA,13027
"121","Cirrhilabrus lubbocki",4,45,8,NA,13041
"122","Cirrhilabrus lunatus",30,55,8.49,NA,7584
"123","Cirrhilabrus luteovittatus",7,30,12,NA,17451
"124","Cirrhilabrus marjorie",20,50,5.79,NA,61859
"125","Cirrhilabrus melanomarginatus",6,40,13,NA,7585
"126","Cirrhilabrus morrisoni",23,35,5.5,NA,59637
"127","Cirrhilabrus nahackyi",NA,NA,NA,NA,66424
"128","Cirrhilabrus naokoae",NA,NA,6,NA,64878
"129","Cirrhilabrus punctatus",2,78,13,NA,13028
"130","Cirrhilabrus pylei",76,82,9,NA,54185
"131","Cirrhilabrus randalli",10,40,8.45,NA,25031
"132","Cirrhilabrus rhomboidalis",NA,40,8.5,6.7,25763
"133","Cirrhilabrus roseafascia",30,100,10,NA,25026
"134","Cirrhilabrus rubrimarginatus",25,52,12.2,NA,7586
"135","Cirrhilabrus rubripinnis",2,40,9.1,NA,13042
"136","Cirrhilabrus rubrisquamis",41,48,7.2,NA,25030
"137","Cirrhilabrus rubriventralis",3,43,7.5,NA,12781
"138","Cirrhilabrus sanguineus",NA,NA,6.7,NA,58168
"139","Cirrhilabrus scottorum",3,40,13,NA,12728
"140","Cirrhilabrus solorensis",5,35,11,NA,60815
"141","Cirrhilabrus temminckii",3,35,9.9,NA,5484
"142","Cirrhilabrus tonozukai",15,40,7.5,NA,59640
"143","Cirrhilabrus walindi",20,65,7,NA,54193
"144","Cirrhilabrus walshi",37,46,6.28,NA,59511
"145","Clepticus africanus",NA,NA,NA,NA,60808
"146","Clepticus brasiliensis",5,25,NA,NA,60809
"147","Clepticus parrae",8,100,30,22,3656
"148","Conniella apterygia",30,40,8,NA,25764
"149","Coris atlantica",NA,NA,NA,NA,58407
"150","Coris auricularis",1,45,40,NA,25769
"151","Coris aurilineata",3,10,14,NA,13029
"152","Coris aygula",2,30,120,NA,5624
"153","Coris ballieui",20,146,30,NA,60816
"154","Coris batuensis",2,30,17,NA,25688
"155","Coris bulbifrons",NA,NA,60,NA,12729
"156","Coris caudimacula",1,57,20,NA,8026
"157","Coris centralis",4,46,9.16,NA,55260
"158","Coris cuvieri",2,50,38,NA,52844
"159","Coris debueni",1,60,27,NA,55262
"160","Coris dorsomacula",2,40,38,NA,6657
"161","Coris flavovittata",1,98,50.8,NA,7827
"162","Coris formosa",NA,NA,60,NA,7736
"163","Coris gaimard",1,50,40,20,5625
"164","Coris hewetti",1,40,13.9,NA,55344
"165","Coris julis",0,120,30,20,58
"166","Coris latifasciata",10,28,9.35,NA,66974
"167","Coris marquesensis",NA,30,NA,NA,55347
"168","Coris musume",NA,NA,NA,NA,61752
"169","Coris nigrotaenia",2,20,43.5,NA,46462
"170","Coris picta",NA,NA,25,NA,7183
"171","Coris pictoides",9,55,15,NA,5107
"172","Coris roseoviridis",12,58,19.8,NA,55349
"173","Coris sandeyeri",NA,60,25,NA,12793
"174","Coris variegata",NA,10,20,NA,5485
"175","Coris venusta",2,10,19.3,NA,7826
"176","Ctenolabrus rupestris",1,50,18,11,61
"177","Cymolutes lecluse",1,119,17.8,NA,6081
"178","Cymolutes praetextatus",2,10,20,NA,5607
"179","Cymolutes torquatus",2,20,20,NA,5608
"180","Decodon grandisquamis",NA,200,18.5,NA,16902
"181","Decodon melasma",40,160,32.3,16,13835
"182","Decodon pacificus",NA,NA,16,NA,23521
"183","Decodon puellaris",18,275,30,22,3657
"184","Diproctacanthus xanthurus",2,25,10,NA,5108
"185","Doratonotus megalepis",1,15,9.4,NA,3658
"186","Dotalabrus alleni",1,15,8.45,NA,46818
"187","Dotalabrus aurantiacus",NA,NA,11.05,NA,46798
"188","Epibulus brevis",3,18,18.5,NA,63878
"189","Epibulus insidiator",1,42,54,NA,5606
"190","Eupetrichthys angustipes",NA,17,12.4,NA,47037
"191","Frontilabrus caeruleus",NA,NA,9.4,NA,25371
"192","Gomphosus caeruleus",1,35,32,NA,7744
"193","Gomphosus varius",1,35,30,NA,5626
"194","Halichoeres adustus",1,3,12.5,NA,13837
"195","Halichoeres aestuaricola",0,5,22,NA,13838
"196","Halichoeres argus",1,15,12,NA,4857
"197","Halichoeres bathyphilus",27,190,23,NA,3659
"198","Halichoeres bicolor",3,20,12,NA,53816
"199","Halichoeres binotopsis",2,8,8.9,NA,12789
"200","Halichoeres biocellatus",6,35,12,NA,5627
"201","Halichoeres bivittatus",1,15,35,NA,3660
"202","Halichoeres bleekeri",NA,NA,12.2,NA,59648
"203","Halichoeres brasiliensis",0,35,39.5,NA,61031
"204","Halichoeres brownfieldi",NA,30,15,NA,59633
"205","Halichoeres burekae",NA,24,7.74,NA,63950
"206","Halichoeres caudalis",18,100,20,NA,3661
"207","Halichoeres chierchiae",2,69,17.5,NA,13839
"208","Halichoeres chlorocephalus",15,30,7.5,NA,58178
"209","Halichoeres chloropterus",0,10,19,NA,4859
"210","Halichoeres chrysus",2,70,12,NA,4855
"211","Halichoeres claudia",1,35,8.8,NA,65073
"212","Halichoeres cosmetus",2,31,13,NA,25372
"213","Halichoeres cyanocephalus",18,91,30,NA,3662
"214","Halichoeres dimidiatus",3,60,NA,NA,62268
"215","Halichoeres discolor",4,30,15,10,46582
"216","Halichoeres dispilus",2,76,25,NA,8208
"217","Halichoeres erdmanni",8,25,7.22,NA,65779
"218","Halichoeres garnoti",2,80,19.3,NA,3663
"219","Halichoeres hartzfeldii",10,70,18,NA,5628
"220","Halichoeres hilomeni",1,3,9.56,NA,65800
"221","Halichoeres hortulanus",1,30,27,NA,12663
"222","Halichoeres insularis",7,10,7,NA,13843
"223","Halichoeres iridis",6,43,11.5,NA,12790
"224","Halichoeres kallochroma",NA,NA,12,NA,59463
"225","Halichoeres lapillus",5,15,14,NA,8021
"226","Halichoeres leptotaenia",2,15,10.4,NA,26864
"227","Halichoeres leucoxanthus",7,60,12,NA,7806
"228","Halichoeres leucurus",1,15,13,NA,56811
"229","Halichoeres maculipinna",2,24,18,NA,3664
"230","Halichoeres malpelo",NA,10,15,NA,13844
"231","Halichoeres margaritaceus",0,5,12.5,NA,5630
"232","Halichoeres marginatus",0,30,18,NA,5631
"233","Halichoeres melanochir",5,25,18,NA,6929
"234","Halichoeres melanotis",8,37,13,NA,13845
"235","Halichoeres melanurus",1,15,12,NA,4858
"236","Halichoeres melas",9,10,12.1,NA,26866
"237","Halichoeres melasmapomus",10,56,24,NA,4856
"238","Halichoeres miniatus",1,10,14,NA,6614
"239","Halichoeres nebulosus",1,40,12,NA,6663
"240","Halichoeres nicholsi",3,53,38,20,13846
"241","Halichoeres nigrescens",3,10,14,NA,58179
"242","Halichoeres notospilus",0,10,25.4,15,8330
"243","Halichoeres orientalis",2,30,7.56,NA,54320
"244","Halichoeres ornatissimus",4,15,18,NA,6664
"245","Halichoeres pallidus",30,74,10,NA,56789
"246","Halichoeres papilionaceus",1,4,12,NA,56813
"247","Halichoeres pardaleocephalus",2,10,11.2,NA,58180
"248","Halichoeres pelicieri",NA,20,4.9,NA,25838
"249","Halichoeres penrosei",NA,30,5.57,NA,62269
"250","Halichoeres pictus",5,25,13,NA,3665
"251","Halichoeres podostigma",2,25,18.5,NA,4861
"252","Halichoeres poeyi",1,15,20,NA,3666
"253","Halichoeres prosopeion",2,40,13,NA,4862
"254","Halichoeres radiatus",2,55,51,40,1068
"255","Halichoeres richmondi",1,15,19,NA,5632
"256","Halichoeres rubricephalus",10,35,10,NA,58181
"257","Halichoeres rubrovirens",6,25,23.1,NA,65545
"258","Halichoeres salmofasciatus",7,30,6.29,NA,60811
"259","Halichoeres sazimai",20,35,21.4,NA,64977
"260","Halichoeres scapularis",1,20,20,NA,5633
"261","Halichoeres semicinctus",0,24,38,NA,3667
"262","Halichoeres signifer",7,12,8.22,NA,26865
"263","Halichoeres socialis",0,7,4.7,NA,60288
"264","Halichoeres solorensis",10,40,18,NA,11622
"265","Halichoeres stigmaticus",3,25,12.8,NA,46373
"266","Halichoeres tenuispinis",0,4,13.6,NA,6930
"267","Halichoeres timorensis",5,15,12,NA,4860
"268","Halichoeres trimaculatus",2,30,27,NA,5634
"269","Halichoeres trispilus",15,56,9.5,NA,25689
"270","Halichoeres vrolikii",NA,NA,13,NA,25690
"271","Halichoeres zeylonicus",10,40,20,NA,13050
"272","Halichoeres zulu",0,2,13.5,NA,65401
"273","Hemigymnus fasciatus",1,25,30,NA,5635
"274","Hemigymnus melapterus",1,30,37,NA,5636
"275","Hemigymnus sexfasciatus",1,20,36.5,NA,67433
"276","Hologymnosus annulatus",8,40,40,34,5637
"277","Hologymnosus doliatus",1,35,50,38,5638
"278","Hologymnosus longipes",5,30,40,NA,13059
"279","Hologymnosus rhodonotus",15,40,32,NA,7581
"280","Iniistius aneitensis",12,92,24,NA,5611
"281","Iniistius auropunctatus",15,17,12.9,NA,59859
"282","Iniistius baldwini",10,132,20.4,NA,57870
"283","Iniistius bimaculatus",NA,NA,28.5,NA,14342
"284","Iniistius brevipinnis",NA,42,14.25,NA,66975
"285","Iniistius celebicus",6,15,16.1,NA,5612
"286","Iniistius cyanifrons",NA,NA,14.9,NA,57871
"287","Iniistius dea",NA,NA,30,NA,10501
"288","Iniistius evides",5,NA,19,NA,66411
"289","Iniistius geisha",NA,NA,NA,NA,58754
"290","Iniistius griffithsi",8,120,14.3,NA,63440
"291","Iniistius jacksonensis",NA,NA,17.5,NA,11673
"292","Iniistius melanopus",NA,64,26,NA,23517
"293","Iniistius naevus",10,25,13.19,NA,66868
"294","Iniistius pavo",1,100,42,NA,5613
"295","Iniistius pentadactylus",2,30,25,NA,7747
"296","Iniistius spilonotus",NA,NA,NA,NA,66414
"297","Iniistius trivittatus",0,10,30,NA,56574
"298","Iniistius twistii",10,20,20,NA,23536
"299","Iniistius umbrilatus",6,76,17.5,NA,7766
"300","Iniistius verrens",NA,NA,NA,NA,23538
"301","Labrichthys unilineatus",0,20,17.5,NA,5109
"302","Labroides bicolor",2,40,15,NA,5650
"303","Labroides dimidiatus",1,40,14,NA,5459
"304","Labroides pectoralis",2,30,11,NA,5651
"305","Labroides phthirophagus",0,90,12,NA,7765
"306","Labroides rubrolabiatus",1,32,9,NA,23530
"307","Labropsis alleni",4,52,10,NA,4863
"308","Labropsis australis",2,55,10.5,NA,4868
"309","Labropsis manabei",5,30,10,7,4866
"310","Labropsis micronesica",7,33,12,9,4867
"311","Labropsis polynesica",NA,27,7.9,NA,4864
"312","Labropsis xanthonota",7,55,13,NA,4865
"313","Labrus bergylta",1,50,65.9,50,572
"314","Labrus merula",NA,NA,45,40,4582
"315","Labrus mixtus",2,200,40,30,1375
"316","Labrus viridis",NA,NA,47,37.5,51659
"317","Lachnolaimus maximus",3,30,91,35,1071
"318","Lappanella fasciata",35,200,15,NA,22513
"319","Lappanella guineensis",NA,100,11.78,NA,22517
"320","Larabicus quadrilineatus",0,15,11.5,NA,25788
"321","Leptojulis chrysotaenia",4,30,11,NA,26276
"322","Leptojulis cyanopleura",4,75,13,NA,10576
"323","Leptojulis lambdastigma",60,91,13.65,NA,26286
"324","Leptojulis polylepis",20,46,10,NA,26289
"325","Leptojulis urostigma",7,100,11,NA,26288
"326","Macropharyngodon bipartitus",NA,30,13,NA,7801
"327","Macropharyngodon choati",0,NA,7.6,NA,13138
"328","Macropharyngodon cyanoguttatus",10,40,11.5,NA,13136
"329","Macropharyngodon geoffroy",6,32,15,NA,7767
"330","Macropharyngodon kuiteri",5,55,10,NA,13141
"331","Macropharyngodon marisrubri",4,16,9.48,NA,13137
"332","Macropharyngodon meleagris",0,30,15,NA,4984
"333","Macropharyngodon moyeri",7,17,12,NA,23534
"334","Macropharyngodon negrosensis",8,32,12,NA,4985
"335","Macropharyngodon ornatus",2,30,13,NA,12724
"336","Macropharyngodon pakoko",0,42,7.2,NA,67486
"337","Macropharyngodon vivienae",NA,NA,11,NA,13140
"338","Malapterus reticulatus",NA,NA,NA,NA,56305
"339","Minilabrus striatus",NA,12,6,NA,25781
"340","Notolabrus celidotus",22,145,23.9,NA,46850
"341","Notolabrus cinctus",40,91,29.9,NA,46873
"342","Notolabrus fucicola",NA,NA,38,NA,14422
"343","Notolabrus gymnogenis",5,40,23,NA,46838
"344","Notolabrus inscriptus",NA,NA,50,NA,12794
"345","Notolabrus parilus",NA,NA,NA,NA,46823
"346","Notolabrus tetricus",NA,50,50,NA,14426
"347","Novaculichthys taeniourus",3,25,30,NA,5610
"348","Novaculoides macrolepidotus",3,25,16,NA,5609
"349","Novaculops alvheimi",NA,60,9.6,NA,66986
"350","Novaculops halsteadi",15,55,12.02,NA,66092
"351","Novaculops koteamea",50,250,25.9,NA,62946
"352","Novaculops pastellus",10,25,11.7,NA,64285
"353","Novaculops sciistius",NA,NA,6.2,NA,66098
"354","Novaculops woodi",NA,48,19.3,NA,23516
"355","Ophthalmolepis lineolata",60,NA,40,NA,56982
"356","Oxycheilinus arenatus",25,60,21,NA,5595
"357","Oxycheilinus bimaculatus",2,110,15,NA,5596
"358","Oxycheilinus celebicus",3,40,24,NA,5597
"359","Oxycheilinus digramma",3,60,40,NA,5599
"360","Oxycheilinus lineatus",49,85,15.95,NA,63450
"361","Oxycheilinus mentalis",1,20,20,NA,12779
"362","Oxycheilinus nigromarginatus",10,27,11.34,NA,62614
"363","Oxycheilinus orientalis",10,80,20,NA,5601
"364","Oxycheilinus unifasciatus",1,160,46,NA,5605
"365","Oxyjulis californica",0,97,25,NA,3670
"366","Paracheilinus angulatus",10,40,7.5,NA,4845
"367","Paracheilinus attenuatus",21,50,5.95,NA,59513
"368","Paracheilinus bellae",18,31,6.5,NA,25765
"369","Paracheilinus carpenteri",27,45,8,NA,4843
"370","Paracheilinus cyaneus",6,20,7,NA,59647
"371","Paracheilinus filamentosus",5,35,15,NA,4844
"372","Paracheilinus flavianalis",6,35,8.5,NA,59645
"373","Paracheilinus hemitaeniatus",NA,42,NA,NA,4846
"374","Paracheilinus lineopunctatus",12,40,7,NA,4841
"375","Paracheilinus mccoskeri",5,50,8,NA,4842
"376","Paracheilinus nursalim",5,50,5.1,NA,63704
"377","Paracheilinus octotaenia",NA,NA,9,NA,4840
"378","Paracheilinus piscilineatus",NA,35,5.65,NA,59512
"379","Paracheilinus rennyae",15,20,6.04,NA,67260
"380","Paracheilinus rubricaudalis",15,46,5.6,NA,61860
"381","Paracheilinus togeanensis",16,40,7,NA,59652
"382","Paracheilinus walton",18,45,4.07,NA,63983
"383","Parajulis poecilepterus",NA,NA,34,NA,5372
"384","Pictilabrus brauni",NA,NA,7.4,NA,54369
"385","Pictilabrus laticlavius",NA,40,23,NA,46975
"386","Pictilabrus viridis",2,15,14.05,NA,46982
"387","Polylepion cruentum",150,200,24,NA,13847
"388","Polylepion russelli",100,353,25,NA,13040
"389","Pseudocheilinops ataenia",5,15,6.5,NA,5615
"390","Pseudocheilinus citrinus",23,48,6.6,NA,55229
"391","Pseudocheilinus dispilus",15,37,7.82,NA,55238
"392","Pseudocheilinus evanidus",6,61,9,NA,5616
"393","Pseudocheilinus hexataenia",1,35,10,NA,5617
"394","Pseudocheilinus ocellatus",20,70,10.25,NA,55234
"395","Pseudocheilinus octotaenia",2,50,14,NA,5618
"396","Pseudocheilinus tetrataenia",6,44,7.5,NA,5619
"397","Pseudocoris aequalis",8,15,11.2,NA,63849
"398","Pseudocoris aurantiofasciata",NA,45,20,NA,25783
"399","Pseudocoris bleekeri",10,30,15,NA,59631
"400","Pseudocoris heteroptera",2,54,20,15,11620
"401","Pseudocoris ocellata",4,15,11.08,NA,27078
"402","Pseudocoris petila",10,25,14,NA,66869
"403","Pseudocoris yamashiroi",5,30,16,NA,5639
"404","Pseudodax moluccanus",3,60,30,NA,5594
"405","Pseudojuloides argyreogaster",NA,NA,NA,NA,4847
"406","Pseudojuloides atavai",12,31,13,NA,4849
"407","Pseudojuloides cerasinus",2,61,12.3,NA,4851
"408","Pseudojuloides edwardi",NA,NA,7.3,NA,67650
"409","Pseudojuloides elongatus",5,50,14,NA,4848
"410","Pseudojuloides erythrops",52,57,10,NA,4854
"411","Pseudojuloides kaleidos",5,35,10,NA,57494
"412","Pseudojuloides mesostigma",25,45,7,NA,4853
"413","Pseudojuloides pyrius",18,41,7.2,NA,4850
"414","Pseudojuloides severnsi",12,40,9.15,NA,59626
"415","Pseudojuloides xanthomos",NA,25,6.5,NA,4852
"416","Pseudolabrus biserialis",NA,NA,17.2,NA,46934
"417","Pseudolabrus eoethinus",NA,NA,20,NA,59646
"418","Pseudolabrus fuentesi",NA,15,16.5,NA,46949
"419","Pseudolabrus gayi",NA,NA,9.73,NA,46923
"420","Pseudolabrus guentheri",1,20,18,NA,13155
"421","Pseudolabrus japonicus",NA,NA,25,NA,12795
"422","Pseudolabrus luculentus",10,50,17,NA,12796
"423","Pseudolabrus miles",4,40,27.2,NA,46965
"424","Pseudolabrus rubicundus",2,220,NA,NA,14424
"425","Pseudolabrus semifasciatus",NA,250,25,NA,46956
"426","Pseudolabrus sieboldi",NA,NA,NA,NA,57440
"427","Pseudolabrus torotai",15,24,15.8,NA,46959
"428","Pteragogus aurigarius",NA,NA,17,NA,59629
"429","Pteragogus clarkae",NA,NA,6.45,NA,66976
"430","Pteragogus cryptus",2,67,9.5,NA,5620
"431","Pteragogus enneacanthus",2,64,15,NA,52464
"432","Pteragogus flagellifer",2,78,20,NA,8022
"433","Pteragogus guttatus",2,12,9,NA,5621
"434","Pteragogus pelycus",NA,NA,15,NA,8023
"435","Pteragogus taeniops",NA,NA,15,NA,8024
"436","Pteragogus trispilus",9,28,7.9,NA,66979
"437","Pteragogus variabilis",0,71,5.8,NA,66977
"438","Sagittalarva inornatus",57,115,NA,NA,59642
"439","Semicossyphus darwini",3,100,70,NA,12859
"440","Semicossyphus pulcher",0,55,91,NA,3671
"441","Semicossyphus reticulatus",NA,NA,100,NA,23626
"442","Stethojulis albovittata",2,15,14,NA,8025
"443","Stethojulis balteata",2,15,15,NA,7828
"444","Stethojulis bandanensis",3,30,15,NA,5640
"445","Stethojulis interrupta",NA,18,13,NA,6633
"446","Stethojulis maculata",NA,NA,16,NA,12783
"447","Stethojulis marquesensis",0,10,8.54,NA,57372
"448","Stethojulis notialis",0,6,7.39,NA,57373
"449","Stethojulis strigiventer",2,15,15,NA,5641
"450","Stethojulis terina",2,7,12.6,NA,57374
"451","Stethojulis trilineata",0,20,15,NA,6622
"452","Suezichthys arquatus",13,100,13.5,NA,4412
"453","Suezichthys aylingi",6,100,11.7,NA,4406
"454","Suezichthys bifurcatus",80,100,9,NA,59630
"455","Suezichthys caudavittatus",50,130,12,NA,4409
"456","Suezichthys cyanolaemus",NA,6,9.7,NA,4411
"457","Suezichthys devisi",5,30,14,NA,56981
"458","Suezichthys gracilis",NA,NA,16,NA,4407
"459","Suezichthys notatus",119,272,14.2,NA,4410
"460","Suezichthys ornatus",NA,NA,3.87,NA,58373
"461","Suezichthys rosenblatti",10,15,7.77,NA,67040
"462","Suezichthys russelli",NA,NA,7.5,NA,4413
"463","Suezichthys soelae",32,75,10.3,NA,4408
"464","Symphodus bailloni",1,50,20,18,9186
"465","Symphodus cinereus",NA,NA,16,8,1791
"466","Symphodus doderleini",2,40,10,NA,54573
"467","Symphodus mediterraneus",1,50,18,12,4578
"468","Symphodus melanocercus",1,25,14,11,16339
"469","Symphodus melops",NA,NA,28,20,59
"470","Symphodus ocellatus",1,30,12,NA,1792
"471","Symphodus roissali",1,30,17,12,1709
"472","Symphodus rostratus",1,50,13,NA,4580
"473","Symphodus tinca",1,50,44,25,1708
"474","Tautoga onitis",1,75,91,NA,458
"475","Tautogolabrus adspersus",10,128,38,NA,3672
"476","Terelabrus rubrovittatus",50,100,12,NA,59475
"477","Thalassoma amblycephalum",1,15,16,NA,5642
"478","Thalassoma ascensionis",NA,50,10,NA,22521
"479","Thalassoma ballieui",1,60,39.5,NA,7771
"480","Thalassoma bifasciatum",0,40,25,NA,3673
"481","Thalassoma cupido",NA,NA,20,14,6587
"482","Thalassoma duperrey",1,NA,28,NA,7770
"483","Thalassoma genivittatum",0,NA,20,NA,25809
"484","Thalassoma grammaticum",3,42,32,NA,13822
"485","Thalassoma hardwicke",0,15,20,15,5643
"486","Thalassoma hebraicum",1,30,23,NA,8019
"487","Thalassoma heiseri",NA,NA,11.62,NA,56820
"488","Thalassoma jansenii",1,15,20,NA,5644
"489","Thalassoma loxum",0,2,18,NA,26968
"490","Thalassoma lucasanum",0,64,15,NA,13860
"491","Thalassoma lunare",1,20,45,NA,5645
"492","Thalassoma lutescens",1,30,30,NA,5646
"493","Thalassoma newtoni",NA,NA,NA,NA,61674
"494","Thalassoma nigrofasciatum",0,15,20,NA,62952
"495","Thalassoma noronhanum",0,60,13.3,NA,27235
"496","Thalassoma pavo",1,150,25,20,2500
"497","Thalassoma purpureum",0,10,46,NA,5647
"498","Thalassoma quinquevittatum",0,40,17,NA,5648
"499","Thalassoma robertsoni",3,50,7.82,NA,59638
"500","Thalassoma rueppellii",0,NA,20,NA,25787
"501","Thalassoma sanctaehelenae",NA,NA,NA,NA,59651
"502","Thalassoma septemfasciatum",NA,NA,31,NA,59650
